,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
51,Only Jennifer sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jennifer] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Jennifer sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Jennifer] [V: sleeps] .",ARGM-LOC
52,Only Kenneth sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Kenneth] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Kenneth sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARGM-ADJ: only] [ARG0: Kenneth] [V: sleeps] .",ARGM-LOC
53,Only Kathryn sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Kathryn] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Kathryn sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Kathryn] [V: sleeps] .",ARGM-LOC
54,Only Stephanie sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Stephanie] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Stephanie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Stephanie] [V: sleeps] .",ARGM-LOC
55,Only Martin sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Martin] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Martin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Martin] [V: sleeps] .",ARGM-LOC
56,Only Billy sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Billy] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Billy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Billy] [V: sleeps] .",ARGM-LOC
57,Only Billy sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Billy] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Billy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Billy] [V: sleeps] .",ARGM-LOC
58,Only Bruce sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Bruce] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Bruce sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Bruce] [V: sleeps] .",ARGM-LOC
59,Only Lauren sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Lauren] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Lauren sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Lauren] [V: sleeps] .",ARGM-LOC
60,Only Lauren sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Lauren] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Lauren sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Lauren] [V: sleeps] .",ARGM-LOC
61,Only Marie sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Marie] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Marie sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Marie] [V: sleeps] .",ARGM-LOC
62,Only John sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only John] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only John sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only John] [V: sleeps] .",ARGM-LOC
63,Only Charlotte sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Charlotte] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Charlotte sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Charlotte] [V: sleeps] .",ARGM-LOC
64,Only Elaine sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Elaine] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Elaine sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Elaine] [V: sleeps] .",ARGM-LOC
65,Only Anne sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Anne] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Anne sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Anne] [V: sleeps] .",ARGM-LOC
66,Only Rebecca sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: Only Rebecca] [V: sleeps] [ARGM-MNR: in that hut] .,ARGM-MNR,"In that hut, only Rebecca sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Rebecca] [V: sleeps] .",ARGM-LOC
67,Only Scott sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Scott] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Scott sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Scott] [V: sleeps] .",ARGM-LOC
68,Only Ken sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ken] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Ken sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Ken] [V: sleeps] .",ARGM-LOC
69,Only Wendy sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Wendy] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Wendy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Wendy] [V: sleeps] .",ARGM-LOC
70,Only Johnny sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Johnny] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Johnny sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Johnny] [V: sleeps] .",ARGM-LOC
71,Only Bob sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Bob] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Bob sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that tent] , [ARG0: only Bob] [V: sleeps] .",ARGM-LOC
72,Only Colin sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Colin] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Colin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Colin] [V: sleeps] .",ARGM-LOC
73,Only Julia sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Julia] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Julia sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Julia] [V: sleeps] .",ARGM-LOC
74,Only Joe sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joe] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Joe sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Joe] [V: sleeps] .",ARGM-LOC
75,Only Henry sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Henry] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Henry sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Henry] [V: sleeps] .",ARGM-LOC
76,Only Margaret sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Margaret] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Margaret sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Margaret] [V: sleeps] .",ARGM-LOC
77,Only Sharon sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Sharon] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Sharon sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADJ', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARGM-ADJ: only] [ARG0: Sharon] [V: sleeps] .",ARGM-LOC
78,Only Victoria sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Victoria] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Victoria sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Victoria] [V: sleeps] .",ARGM-LOC
79,Only Kathy sleeps in that hut.,"['B-ARGM-MNR', 'B-ARGM-MNR', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARGM-MNR: Only] [ARGM-MNR: Kathy] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Kathy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARGM-MNR', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARGM-ADV: only] [ARGM-MNR: Kathy] [V: sleeps] .",ARGM-LOC
80,Only Harold sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Harold] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Harold sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Harold] [V: sleeps] .",ARGM-LOC
81,Only Louis sleeps in that tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Louis] [V: sleeps] [ARGM-LOC: in that tent] .,ARGM-LOC,"In that tent, only Louis sleeps.",[],[],ssed_verb
82,Only Matt sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Matt] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Matt sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that hut] , [ARG0: only Matt] [V: sleeps] .",ARGM-LOC
83,Only Kathy sleeps in that cage.,"['B-ARGM-MNR', 'B-ARGM-MNR', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARGM-MNR: Only] [ARGM-MNR: Kathy] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Kathy sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARGM-MNR', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARGM-ADV: only] [ARGM-MNR: Kathy] [V: sleeps] .",ARGM-LOC
84,Only Harriet sleeps in that hut.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Harriet] [V: sleeps] [ARGM-LOC: in that hut] .,ARGM-LOC,"In that hut, only Harriet sleeps.",[],[],ssed_verb
85,Only Dick sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Dick] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Dick sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Dick] [V: sleeps] .",ARGM-LOC
86,Only Catherine sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Catherine] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Catherine sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Catherine] [V: sleeps] .",ARGM-LOC
87,Only Jennifer sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jennifer] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Jennifer sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Jennifer] [V: sleeps] .",ARGM-LOC
88,Only Benjamin sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Benjamin] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Benjamin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Benjamin] [V: sleeps] .",ARGM-LOC
89,Only Daniel sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Daniel] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Daniel sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Daniel] [V: sleeps] .",ARGM-LOC
90,Only Jerry sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Jerry] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Jerry sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-ADV', 'B-ARGM-EXT', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARGM-ADV: only] [ARGM-EXT: Jerry] [V: sleeps] .",ARGM-LOC
91,Only Scott sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Scott] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Scott sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Scott] [V: sleeps] .",ARGM-LOC
92,Only Andrea sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Andrea] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Andrea sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARGM-EXT', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARGM-EXT: only] [ARG0: Andrea] [V: sleeps] .",ARGM-LOC
93,Only Dorothy sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Dorothy] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Dorothy sleeps.",[],[],ssed_verb
94,Only Ruth sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Ruth] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Ruth sleeps.",[],[],ssed_verb
95,Only Heather sleeps in that park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Heather] [V: sleeps] [ARGM-LOC: in that park] .,ARGM-LOC,"In that park, only Heather sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that park] , [ARG0: only Heather] [V: sleeps] .",ARGM-LOC
96,Only Joe sleeps in that cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Joe] [V: sleeps] [ARGM-LOC: in that cage] .,ARGM-LOC,"In that cage, only Joe sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that cage] , [ARG0: only Joe] [V: sleeps] .",ARGM-LOC
97,Only Kevin sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Kevin] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Kevin sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Kevin] [V: sleeps] .",ARGM-LOC
98,Only Donald sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Donald] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Donald sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only Donald] [V: sleeps] .",ARGM-LOC
99,Only Matthew sleeps in that bed.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O']",[ARG0: Only Matthew] [V: sleeps] [ARGM-LOC: in that bed] .,ARGM-LOC,"In that bed, only Matthew sleeps.","['B-ARGM-LOC', 'I-ARGM-LOC', 'I-ARGM-LOC', 'O', 'B-ARG0', 'B-ARG0', 'B-V', 'O']","[ARGM-LOC: In that bed] , [ARG0: only] [ARG0: Matthew] [V: sleeps] .",ARGM-LOC
