,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
68,The men went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the building] .,ARG4,"To the building, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the men] [V: went] .",ARG4
69,The animals went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the future] .,ARG4,"To the future, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the animals] [V: went] .",ARG4
70,The men went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the building] .,ARG4,"To the building, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the men] [V: went] .",ARG4
71,The girls went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the party] .,ARG4,"To the party, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the girls] [V: went] .",ARG4
72,The men went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the party] .,ARG4,"To the party, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the men] [V: went] .",ARG4
73,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
74,The men went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the men] [V: went] .",ARG4
75,The men went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the building] .,ARG4,"To the building, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the men] [V: went] .",ARG4
76,The horses went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the building] .,ARG4,"To the building, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the horses] [V: went] .",ARG4
77,The women went to the past.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the past] .,ARG4,"To the past, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the past] , [ARG0: the women] [V: went] .",ARG4
78,The men went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the building] .,ARG4,"To the building, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the men] [V: went] .",ARG4
79,The girls went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the party] .,ARG4,"To the party, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the girls] [V: went] .",ARG4
80,The boys went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the park] .,ARG4,"To the park, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the boys] [V: went] .",ARG4
81,The boys went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the future] .,ARG4,"To the future, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the boys] [V: went] .",ARG4
82,The horses went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the park] .,ARG4,"To the park, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the horses] [V: went] .",ARG4
83,The boys went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the boys] [V: went] .",ARG4
84,The boys went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the boys] [V: went] .",ARG4
85,The girls went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the girls] [V: went] .",ARG4
86,The animals went to the past.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the past] .,ARG4,"To the past, the animals went.","['B-ARG4', 'B-ARGM-TMP', 'I-ARGM-TMP', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To] [ARGM-TMP: the past] , [ARG0: the animals] [V: went] .",ARG4
87,The women went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the women] [V: went] .",ARG4
88,The men went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the men] [V: went] .",ARG4
89,The men went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the men] [V: went] .",ARG4
90,The girls went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the girls] [V: went] .",ARG4
91,The animals went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the building] .,ARG4,"To the building, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the animals] [V: went] .",ARG4
92,The girls went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the park] .,ARG4,"To the park, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the girls] [V: went] .",ARG4
93,The girls went to the past.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the past] .,ARG4,"To the past, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the past] , [ARG0: the girls] [V: went] .",ARG4
94,The animals went to the past.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the past] .,ARG4,"To the past, the animals went.","['B-ARG4', 'B-ARGM-TMP', 'I-ARGM-TMP', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To] [ARGM-TMP: the past] , [ARG0: the animals] [V: went] .",ARG4
95,The women went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the party] .,ARG4,"To the party, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the women] [V: went] .",ARG4
96,The horses went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the horses] [V: went] .",ARG4
97,The men went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the men] [V: went] .",ARG4
98,The boys went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the party] .,ARG4,"To the party, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the boys] [V: went] .",ARG4
99,The animals went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the animals] [V: went] .",ARG4
